# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 250, i.e. number of multipoles equal to 249
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:aa                     7:aa_reco                8:aa_reio                9:aT                    10:aT_reco               11:aT_reio               12:aE                    13:aE_reco               14:aE_reio               15:TE_rot                16:TB_rot                17:EE_rot                18:BB_rot                19:EB_rot             
   50       1.910740151411e-10       1.593308964544e-14       7.560745240690e-14       0.000000000000e+00       1.269844693251e-19       1.541149892758e-20       1.115692789487e-19      -7.291118210502e-17      -1.894936159946e-16       1.165824338896e-16       1.146073852559e-17       1.136794856636e-17       9.016039345247e-20       5.153017252198e-14       2.264789237135e-15       1.589437077470e-14       3.335802012744e-17       7.090092054695e-16 
   51       1.937902983827e-10       1.697146243992e-14       5.039759912974e-14       0.000000000000e+00       1.153950686524e-19       1.474873016356e-20       1.006476281646e-19      -9.417340310857e-17      -2.034612486879e-16       1.092878455793e-16       1.167898742765e-17       1.159621661307e-17       8.190804099587e-20       5.459176452659e-14       2.406896161151e-15       1.693236617484e-14       3.547957859880e-17       7.553478720078e-16 
   52       1.965319328095e-10       1.805059071755e-14       2.340209691985e-14       0.000000000000e+00       1.050601382296e-19       1.413038066613e-20       9.093364277957e-20      -1.148432843353e-16      -2.172691205246e-16       1.024258361893e-16       1.188490507793e-17       1.182351707609e-17       6.137886535173e-20       5.775437909418e-14       2.550397472895e-15       1.800973648418e-14       3.767550436586e-17       8.034482199991e-16 
   53       1.992988602072e-10       1.916917881972e-14      -5.176188829843e-15       0.000000000000e+00       9.582559503176e-20       1.355284937584e-20       8.227798864725e-20      -1.347996281409e-16      -2.309258368092e-16       9.612620866829e-17       1.208264955033e-17       1.204969637341e-17       3.361570446918e-20       6.101361142269e-14       2.699069777881e-15       1.912653376494e-14       3.995581746673e-17       8.533062652117e-16 
   54       2.020915740689e-10       2.032472579110e-14      -3.538554495872e-14       0.000000000000e+00       8.755986076224e-20       1.301285783339e-20       7.455286508266e-20      -1.542329269200e-16      -2.444380964593e-16       9.020516953931e-17       1.227786930474e-17       1.227460531746e-17       5.071547559473e-21       6.436128613209e-14       2.860040690569e-15       2.028275570234e-14       4.231964268166e-17       9.049224582335e-16 
   55       2.049108410294e-10       2.151800835974e-14      -6.753232718849e-14       0.000000000000e+00       8.014952501117e-20       1.250741993983e-20       6.764789346056e-20      -1.731381444532e-16      -2.578126798015e-16       8.467453534829e-17       1.247645868273e-17       1.249809817850e-17      -1.864733201517e-20       6.779933516530e-14       3.030426254328e-15       2.147834369054e-14       4.475703347746e-17       9.583004358875e-16 
   56       2.077570371385e-10       2.275287579025e-14      -1.017303733784e-13       0.000000000000e+00       7.349522110791e-20       1.203381379240e-20       6.146682837904e-20      -1.915536070842e-16      -2.710552783019e-16       7.950167121769e-17       1.268234592977e-17       1.272003166622e-17      -3.426677892312e-20       7.133867291732e-14       3.198674451891e-15       2.271318377529e-14       4.726199574170e-17       1.013438777048e-15 
   57       2.106302258092e-10       2.403063009714e-14      -1.377210153103e-13       0.000000000000e+00       6.751000949678e-20       1.158955558774e-20       5.592519804604e-20      -2.095177195270e-16      -2.841700102112e-16       7.465229068418e-17       1.289626398854e-17       1.294026321539e-17      -4.135204191810e-20       7.498219312579e-14       3.360905520974e-15       2.398710272706e-14       4.983316122165e-17       1.070330393689e-15 
   58       2.135303946086e-10       2.534773665498e-14      -1.752799852298e-13       0.000000000000e+00       6.211716984574e-20       1.117237822633e-20       5.094869815799e-20      -2.270190783897e-16      -2.971597833724e-16       7.014070498274e-17       1.311505896080e-17       1.315865222062e-17      -4.182745448108e-20       7.871913180304e-14       3.526205790989e-15       2.529986507350e-14       5.246533023842e-17       1.128967776240e-15 
   59       2.164577912798e-10       2.670062697551e-14      -2.145664877850e-13       0.000000000000e+00       5.724904837146e-20       1.078020983746e-20       4.647211471750e-20      -2.440709995719e-16      -3.100260853218e-16       6.595508574985e-17       1.333462111496e-17       1.337505941148e-17      -3.879407544949e-20       8.253966538209e-14       3.702568756674e-15       2.665117169151e-14       5.514858806622e-17       1.189343491186e-15 
